GeoID,phh_wocomp
53033000101,2.07
53033000102,3.4
53033000201,0.73
53033000202,0.84
53033000300,0.8
53033000402,4.99
53033000403,9.8
53033000404,7.92
53033000500,0.71
53033000601,5.39
53033000602,3.41
53033000700,6.82
53033000800,4.11
53033000900,2.69
53033001000,0.65
53033001100,2.79
53033001201,10.02
53033001202,4.33
53033001300,5.15
53033001400,2.94
53033001500,3.02
53033001600,2.5
53033001701,3.08
53033001702,1.14
53033001800,2.37
53033001900,1.5
53033002000,1.45
53033002100,0
53033002200,1.2
53033002400,2.05
53033002500,2.85
53033002600,0.85
53033002700,1.22
53033002800,2.07
53033002900,0.91
53033003000,1.33
53033003100,1.85
53033003201,6.5
53033003202,7.98
53033003301,2.12
53033003302,0
53033003400,4.33
53033003500,4.75
53033003601,3.79
53033003602,0.86
53033003800,1.38
53033003900,0.35
53033004000,1.87
53033004101,0
53033004102,2.78
53033004201,1.84
53033004202,0.84
53033004301,2.54
53033004302,2.43
53033004401,0
53033004402,1.15
53033004500,5.97
53033004600,1.39
53033004701,1.63
53033004702,6.05
53033004703,3.69
53033004800,0
53033004901,0.5
53033004902,9.92
53033005000,2.1
53033005100,1.5
53033005201,2.92
53033005202,0
53033005304,11.49
53033005305,0
53033005306,0
53033005307,0
53033005401,2.1
53033005402,0
53033005600,1.84
53033005700,4.48
53033005801,0
53033005803,2.14
53033005804,0.59
53033005901,3.7
53033005902,2.91
53033006000,1.53
53033006100,0
53033006200,3.37
53033006300,1.62
53033006400,1.92
53033006500,0.41
53033006600,0
53033006701,6.02
53033006702,3.18
53033006703,0
53033006800,1.82
53033006900,1.31
53033007001,3
53033007002,0
53033007101,0
53033007102,6.19
53033007201,2.26
53033007202,0
53033007203,0
53033007301,0.73
53033007302,6.5
53033007303,1.36
53033007403,1.31
53033007404,1.56
53033007405,10.54
53033007406,1.2
53033007501,7.84
53033007502,2.73
53033007503,1.38
53033007600,0
53033007700,2.44
53033007800,3.68
53033007901,1.97
53033007902,1.45
53033008002,10.64
53033008003,3.54
53033008004,0
53033008101,5.78
53033008102,12.67
53033008200,1.72
53033008300,8.95
53033008401,5.43
53033008402,0
53033008500,9.01
53033008600,0
53033008700,3.37
53033008800,3.76
53033008900,1.97
53033009000,9.28
53033009100,15.85
53033009200,11
53033009300,2.95
53033009400,5.41
53033009500,0.63
53033009600,6.53
53033009701,1.11
53033009702,0.68
53033009801,2.67
53033009802,2.38
53033009900,0.67
53033010001,8.11
53033010002,6.03
53033010102,3.69
53033010200,3.57
53033010301,2.09
53033010302,3.4
53033010401,4.83
53033010402,3.71
53033010501,6.42
53033010502,1.47
53033010601,3.34
53033010602,0.62
53033010701,2.47
53033010702,1.38
53033010800,1.96
53033010900,6.72
53033011001,13.58
53033011002,1.54
53033011101,6.41
53033011102,4.65
53033011200,6
53033011300,8.4
53033011401,4.07
53033011402,3.02
53033011500,1.31
53033011601,1.38
53033011602,2.5
53033011700,0.94
53033011801,0
53033011802,12.02
53033011901,0
53033011902,5.45
53033012000,1.4
53033012100,0.34
53033020100,0.23
53033020200,6.01
53033020301,4.85
53033020302,0
53033020401,4.23
53033020402,1.41
53033020500,3.09
53033020600,5.19
53033020700,1.75
53033020800,3.82
53033020900,1.59
53033021000,5.22
53033021100,1.74
53033021300,2.55
53033021400,6.25
53033021500,0.94
53033021600,0
53033021701,0
53033021702,11.74
53033021802,1.73
53033021803,1.85
53033021804,4.21
53033021903,8.7
53033021904,1.53
53033021905,4.23
53033021906,3.13
53033022001,8.08
53033022003,1.3
53033022005,1.12
53033022006,0.71
53033022101,3.22
53033022102,0.52
53033022201,0
53033022203,0.05
53033022204,0.99
53033022205,3.23
53033022300,2.35
53033022401,0.89
53033022402,1.51
53033022501,4.24
53033022502,0.93
53033022603,0
53033022604,1.62
53033022605,1.76
53033022606,5.41
53033022701,0.67
53033022702,4.11
53033022703,0.61
53033022802,0
53033022803,3.43
53033022804,0.88
53033022805,0.87
53033022901,0
53033022902,0.83
53033023000,0.63
53033023100,0.61
53033023201,4.16
53033023202,13.34
53033023300,0.54
53033023401,5.94
53033023403,0
53033023404,2.86
53033023500,2.07
53033023601,3.2
53033023603,1
53033023604,4.38
53033023701,1.64
53033023702,0
53033023801,0
53033023805,0
53033023806,4.58
53033023807,3.56
53033023808,0
53033023901,5.15
53033023902,0
53033024001,2.37
53033024002,1.88
53033024100,0.87
53033024200,3.13
53033024301,10.36
53033024302,0
53033024400,1.42
53033024500,0
53033024601,0.61
53033024602,2.36
53033024701,0.52
53033024703,3.35
53033024704,0
53033024800,0
53033024901,0.43
53033024902,0
53033024904,0
53033024905,0
53033025001,2.37
53033025005,1.23
53033025006,0.54
53033025007,1.75
53033025008,2.22
53033025101,3.94
53033025103,2.55
53033025104,2.74
53033025201,1.71
53033025202,5.68
53033025302,12.13
53033025303,0.7
53033025304,1.49
53033025401,3.12
53033025402,6.71
53033025500,5.8
53033025601,0.86
53033025602,0.97
53033025702,2.65
53033025703,6.89
53033025704,4.83
53033025803,5.54
53033025804,9.84
53033025805,3.35
53033025806,1.63
53033026001,6.66
53033026003,1.13
53033026004,5.97
53033026101,3.51
53033026102,4.58
53033026200,5.51
53033026300,2.76
53033026400,3.51
53033026500,9.56
53033026600,3.33
53033026700,6.72
53033026801,6.43
53033026802,2.55
53033027000,2.98
53033027100,9.39
53033027200,4.07
53033027300,0
53033027400,9.16
53033027500,5.85
53033027600,1.87
53033027701,2.43
53033027702,2.59
53033027800,2.38
53033027901,2.33
53033027902,3.98
53033028000,7.6
53033028100,5.74
53033028200,4.98
53033028300,1.27
53033028402,0.74
53033028403,12.86
53033028500,9.46
53033028600,4.41
53033028700,2.14
53033028801,9.62
53033028802,6.03
53033028901,5.3
53033028902,3.66
53033029001,3.5
53033029003,2.32
53033029004,4.54
53033029101,2.09
53033029102,2
53033029203,16.62
53033029205,8.09
53033029206,11.81
53033029207,1.65
53033029208,0.36
53033029304,0.64
53033029305,1.19
53033029306,2.72
53033029307,0.84
53033029308,6.69
53033029309,2.02
53033029403,1.05
53033029405,0.44
53033029406,0.26
53033029407,0.79
53033029408,8.36
53033029504,3.77
53033029505,0
53033029506,5.33
53033029507,2.44
53033029508,0
53033029602,4.07
53033029603,0
53033029604,0
53033029701,8.49
53033029702,6.28
53033029803,3.46
53033029804,0
53033029805,1.25
53033029806,1.85
53033029901,1.09
53033029902,1.58
53033030003,3.9
53033030005,0.53
53033030006,8.13
53033030007,1.47
53033030008,3.65
53033030101,3.85
53033030102,7.46
53033030201,2.67
53033030203,0
53033030204,6.34
53033030304,2.16
53033030305,0.83
53033030306,2.98
53033030308,0.85
53033030309,3.94
53033030310,5.15
53033030311,2.85
53033030312,0.68
53033030313,8.31
53033030314,4.17
53033030403,4.81
53033030404,0.97
53033030405,10.79
53033030406,12.82
53033030407,0
53033030501,13.86
53033030503,10.48
53033030504,6.63
53033030600,4.48
53033030700,5.79
53033030801,6.4
53033030802,6.39
53033030901,1.62
53033030902,6.45
53033031000,4.03
53033031101,3.79
53033031102,4.51
53033031202,2.28
53033031204,2.28
53033031206,4.76
53033031207,1.22
53033031208,0.83
53033031301,8
53033031302,7.03
53033031400,3.67
53033031501,2.91
53033031502,5.34
53033031601,0.99
53033031603,5.06
53033031604,1.49
53033031605,1.42
53033031704,2.77
53033031705,0.59
53033031707,0.9
53033031708,4.9
53033031709,2.47
53033031710,11.7
53033031800,1.44
53033031904,2.82
53033031906,1.23
53033031908,2.99
53033031909,0.4
53033031910,1.49
53033031911,0
53033031912,4.58
53033031913,5.58
53033032002,1.88
53033032003,0.69
53033032005,3.32
53033032006,0.71
53033032007,3.93
53033032008,0.69
53033032010,6.24
53033032011,0.6
53033032102,0.7
53033032103,0.66
53033032104,1.97
53033032207,0
53033032211,0
53033032213,0.44
53033032215,1.52
53033032216,0
53033032217,0
53033032218,1.19
53033032219,2.24
53033032220,1.18
53033032221,0
53033032222,0.92
53033032223,0
53033032224,0
53033032225,2.13
53033032307,1.22
53033032311,0.67
53033032313,1.86
53033032315,0
53033032316,0.52
53033032317,0.83
53033032318,0.69
53033032319,7.02
53033032320,0.67
53033032321,0
53033032322,0
53033032323,1.32
53033032324,1.69
53033032325,2.01
53033032326,1.6
53033032327,2.3
53033032328,0
53033032330,6.02
53033032331,0.57
53033032332,0
53033032333,0
53033032401,0
53033032402,2.49
53033032500,4.24
53033032601,1.59
53033032603,3.58
53033032604,0
53033032605,0
53033032703,0.63
53033032704,1.65
53033032705,0
53033032706,0
53033032800,2.39
53053060200,2.27
53053060300,5.68
53053060400,4.26
53053060500,0.45
53053060600,3.95
53053060700,5.55
53053060800,7.32
53053060903,6.35
53053060904,6.26
53053060906,10.1
53053060907,13.9
53053060908,7.65
53053061001,6.25
53053061002,13.34
53053061100,5.6
53053061200,12.15
53053061300,3.37
53053061400,6.58
53053061501,13.28
53053061502,2.64
53053061601,14.47
53053061602,3.2
53053061700,5.81
53053061800,4.45
53053061900,6.66
53053062000,3.51
53053062300,3.92
53053062400,10.16
53053062501,4.1
53053062502,0.9
53053062600,5.56
53053062801,6.49
53053062802,2.79
53053062901,3.68
53053062902,2.9
53053063000,0.13
53053063100,6.36
53053063200,5.85
53053063301,4.7
53053063302,4.19
53053063401,8.77
53053063402,0
53053063501,4.31
53053063502,6.85
53053070100,0.44
53053070204,4.55
53053070205,0.52
53053070206,1.75
53053070207,4.28
53053070208,0
53053070209,2.42
53053070307,1.96
53053070308,3.23
53053070309,6.53
53053070310,0.55
53053070311,1.56
53053070312,0.47
53053070313,2.3
53053070314,0.92
53053070315,0.26
53053070316,0
53053070401,1.98
53053070403,1.28
53053070404,3.59
53053070703,2.85
53053071100,8.51
53053071205,4.79
53053071206,4.32
53053071207,8.87
53053071209,1.36
53053071210,3.48
53053071211,6.32
53053071212,0
53053071304,3.8
53053071305,0.57
53053071306,2.48
53053071307,0.54
53053071309,1.56
53053071310,0
53053071403,2.44
53053071408,1.89
53053071409,5.31
53053071411,5.08
53053071412,0
53053071413,0
53053071414,0
53053071415,0
53053071416,2.91
53053071417,2.46
53053071503,8.86
53053071504,1.12
53053071505,4.66
53053071506,2.17
53053071601,5.43
53053071603,9.89
53053071604,3.54
53053071703,5.46
53053071704,1.23
53053071705,2.79
53053071706,7.13
53053071707,7.93
53053071803,8.2
53053071805,6.2
53053071806,8.74
53053071807,3.95
53053071808,7.53
53053071901,12.26
53053071902,5.69
53053072000,2.22
53053072105,2.55
53053072106,5.86
53053072107,4.59
53053072108,4.41
53053072109,3.56
53053072111,2.67
53053072112,5.42
53053072305,3.93
53053072307,3.73
53053072309,1.22
53053072310,7.09
53053072311,5.63
53053072312,3.01
53053072313,2.95
53053072314,7.72
53053072315,1.18
53053072405,2.63
53053072406,1.15
53053072407,2.24
53053072408,1.59
53053072409,1.03
53053072410,2.55
53053072503,5.13
53053072504,2.49
53053072506,1.19
53053072507,4.79
53053072508,0.63
53053072509,0
53053072601,1.1
53053072602,1.6
53053072603,2.27
53053072801,0
53053072802,2.58
53053072901,0
